filename_real,filename_aug,class
2007_009348.jpg,aug-0-0.png,airplane
2007_009348.jpg,aug-0-1.png,airplane
2007_009348.jpg,aug-0-2.png,airplane
2007_009348.jpg,aug-0-3.png,airplane
2007_009348.jpg,aug-0-4.png,airplane
2007_009348.jpg,aug-0-5.png,airplane
2007_009348.jpg,aug-0-6.png,airplane
2007_009348.jpg,aug-0-7.png,airplane
2007_009348.jpg,aug-0-8.png,airplane
2007_009348.jpg,aug-0-9.png,airplane
2008_005839.jpg,aug-1-0.png,bicycle
2008_005839.jpg,aug-1-1.png,bicycle
2008_005839.jpg,aug-1-2.png,bicycle
2008_005839.jpg,aug-1-3.png,bicycle
2008_005839.jpg,aug-1-4.png,bicycle
2008_005839.jpg,aug-1-5.png,bicycle
2008_005839.jpg,aug-1-6.png,bicycle
2008_005839.jpg,aug-1-7.png,bicycle
2008_005839.jpg,aug-1-8.png,bicycle
2008_005839.jpg,aug-1-9.png,bicycle
2010_000075.jpg,aug-2-0.png,bird
2010_000075.jpg,aug-2-1.png,bird
2010_000075.jpg,aug-2-2.png,bird
2010_000075.jpg,aug-2-3.png,bird
2010_000075.jpg,aug-2-4.png,bird
2010_000075.jpg,aug-2-5.png,bird
2010_000075.jpg,aug-2-6.png,bird
2010_000075.jpg,aug-2-7.png,bird
2010_000075.jpg,aug-2-8.png,bird
2010_000075.jpg,aug-2-9.png,bird
2008_006065.jpg,aug-3-0.png,boat
2008_006065.jpg,aug-3-1.png,boat
2008_006065.jpg,aug-3-2.png,boat
2008_006065.jpg,aug-3-3.png,boat
2008_006065.jpg,aug-3-4.png,boat
2008_006065.jpg,aug-3-5.png,boat
2008_006065.jpg,aug-3-6.png,boat
2008_006065.jpg,aug-3-7.png,boat
2008_006065.jpg,aug-3-8.png,boat
2008_006065.jpg,aug-3-9.png,boat
2009_001937.jpg,aug-4-0.png,bottle
2009_001937.jpg,aug-4-1.png,bottle
2009_001937.jpg,aug-4-2.png,bottle
